,P(AAB|prime),P(ABA|prime),P(ABB|prime),P(ABC|prime),A,B,C,P(A|A),P(B|A),"P(B|A,A)","P(A|A,B)","P(B|A,B)","P(C|A,B)","P(A|prime,A)","P(B|prime,A)","P(B|prime,A,A)","P(A|prime,A,B)","P(B|prime,A,B)","P(C|prime,A,B)"
2197,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
2198,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
2199,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
2200,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
2201,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
2202,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
2203,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
2204,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
2205,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
2206,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
2207,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
2208,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
2209,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
2210,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
2211,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
2212,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
2213,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
2214,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
2215,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
2216,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
2217,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
2218,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
2219,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
2220,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
2221,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
2222,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
2223,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
2224,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
2225,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
2226,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
2227,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
2228,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
2229,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
2230,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
2231,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
2232,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
2233,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
2234,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
2235,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
2236,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
2237,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
2238,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
2239,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
2240,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
2241,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
2242,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
2243,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
2244,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
2245,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
2246,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
2247,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
2248,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
2249,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
2250,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
2251,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
2252,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
2253,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
2254,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
2255,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
2256,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
2257,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
2258,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
2259,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
2260,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
2261,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
2262,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
2263,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
2264,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
2265,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
2266,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
2267,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
2268,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
2269,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
2270,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
2271,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
2272,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
2273,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
2274,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
2275,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
2276,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
2277,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
2278,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
2279,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
2280,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
2281,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
2282,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
2283,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
2284,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
2285,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
2286,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
2287,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
2288,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
2289,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
2290,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
2291,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
2292,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
2293,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
2294,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
2295,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
2296,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
2297,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
2298,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
2299,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
2300,2.860409,2.5882788,4.0253134,,982,19529,,8.706194e-08,4.929484e-07,2.0436133e-07,3.5449086e-06,9.063574e-10,,2.1329822e-07,1.0883458e-06,2.3859866e-07,4.155762e-06,1.6524706e-09,
2301,2.1760287,5.7052712,20.231926,,44386,25998,,3.8744926e-07,5.8012395e-09,1.9377794e-08,3.852286e-09,2.8726138e-11,,4.4356312e-07,1.3286142e-08,3.683226e-08,9.596585e-09,2.537677e-10,
2302,4.7991753,1.7769119,2.4049375,,16471,13163,,2.0351406e-08,1.2788597e-07,2.4175875e-10,3.4852908e-06,2.1305743e-06,,4.4719425e-08,1.936575e-07,5.280159e-10,4.0897194e-06,3.3836786e-06,
2303,1.718172,6.277496,10.017674,,6312,48458,,2.479069e-07,1.6113281e-08,9.517739e-06,1.7364933e-07,1.9535024e-07,,3.828417e-07,7.53118e-08,1.0589363e-05,2.332279e-07,4.186989e-07,
2304,1.1834797,5.604401,1.4477333,,25998,44386,,1.0932107e-05,3.0517655e-09,1.6585056e-05,7.16926e-09,5.864885e-06,,1.0570482e-05,7.679961e-09,2.0299569e-05,1.5965984e-08,3.3739625e-06,
2305,1.437911,1.4643272,1.3882183,,39611,240,,1.0932107e-05,5.5195652e-09,1.4347088e-06,1.8853814e-07,1.2323707e-05,,1.057048e-05,9.0819725e-09,2.1335604e-06,1.6778844e-07,1.0397378e-05,
2306,1.8881813,0.6114686,0.6539975,,13426,7829,,2.1630406e-06,5.9844974e-06,1.6860712e-06,3.841782e-07,3.2833879e-07,,3.0105512e-06,3.3954486e-06,2.2873796e-06,4.1403538e-07,3.784677e-07,
2307,1.2517394,3.379901,3.3391476,,47903,27072,,9.864217e-09,4.8791287e-07,5.772929e-07,1.4590094e-09,1.1007486e-07,,1.1513392e-08,7.814479e-07,6.1911237e-07,3.0789618e-09,2.2949116e-07,
2308,2.386535,0.7915804,0.8692211,,45565,17816,,2.125655e-09,8.79838e-06,4.6888342e-08,6.1367886e-05,2.1585922e-08,,3.760699e-09,8.97562e-06,6.324947e-08,4.7618356e-05,1.8392429e-08,
2309,3.625185,2.5566354,9.740391,,23287,8115,,2.7900478e-07,1.4238077e-06,2.4107617e-06,8.225869e-09,4.1915433e-11,,7.05138e-07,2.2881345e-06,3.4579762e-06,1.3086405e-08,2.5405056e-10,
2310,1.0674655,1.0530015,3.5950577,,35283,15583,,6.988589e-07,3.92292e-05,7.930516e-07,1.424427e-05,6.2866127e-07,,8.173743e-07,5.553127e-05,7.2380874e-07,1.0595977e-05,1.5965936e-06,
2311,7.375864,2.6610324,3.0561514,,44033,8115,,8.751398e-11,9.610596e-07,3.3691805e-08,2.7810566e-07,1.442191e-07,,2.531365e-10,1.9461008e-06,8.591319e-08,3.6546436e-07,2.1766203e-07,
2312,4.4094434,1.8117489,1.5557791,,47728,23596,,6.8342865e-07,2.1109852e-12,8.6820926e-08,9.763398e-07,1.8515568e-05,,1.3972078e-06,4.028023e-12,1.8725798e-07,9.270267e-07,1.5096566e-05,
2313,1.6930676,3.5249808,2.909649,,48162,42859,,1.0334495e-05,1.956453e-10,4.34464e-06,7.504762e-09,3.275551e-07,,1.3047863e-05,4.8461424e-10,5.8261e-06,1.0679894e-08,3.847674e-07,
2314,4.415553,7.7899566,13.115365,,38093,50155,,3.687785e-07,3.054984e-06,4.240398e-09,1.1824111e-09,3.989001e-11,,5.483673e-07,6.327322e-06,1.2591739e-08,4.4472603e-09,2.5260014e-10,
2315,1.7272824,2.405802,1.7548766,,44785,19351,,5.148821e-07,8.666805e-06,1.3172673e-06,5.814299e-08,1.1516757e-05,,7.079895e-07,1.7149105e-05,1.6546962e-06,7.069274e-08,1.0213965e-05,
